Id,Title,CCLI,Themes,Notes,Last Scheduled Date,Genre,Mood,Purpose,Themes,Arrangement 1 Name,Arrangement 1 BPM,Arrangement 1 Length,Arrangement 1 Notes,Arrangement 1 Keys,Arrangement 2 Name,Arrangement 2 BPM,Arrangement 2 Length,Arrangement 2 Notes,Arrangement 2 Keys
14038726,Arms Open Wide,5371334,"","",,"","","","",Default Arrangement,85,0,"",D,,,,
12603057,B001 - Be Thou My Vision,30639,"","","August 27, 2017",Traditional,Reflection & Prayer,Offering,Commitment & Dedication,B001 - Be Thou My Vision,170,0,"",D,,,,
12603089,B002 - Beautiful Exchange,5637470,"","","January 22, 2017",Contemporary,Reflection & Prayer,"","Jesus' Life, Death, & Resurrection, Our Testimony & Redemption",B002 - Beautiful Exchange,139,0,"","D, C, B: Miesha: Chorus & Bridge",,,,
12603113,B003 - Beauty For Ashes,7040551,"","","October 12, 2016",Contemporary,Adoration,"","Our Testimony & Redemption, Thankfulness & Adoration",Default Arrangement,,0,"","D, A, G",,,,
12603108,B004 - Because He Lives,16880,"","","January 05, 2017",Traditional,Adoration,"","Jesus' Life, Death, & Resurrection, Thankfulness & Adoration",Default Arrangement,,0,"",G,,,,
12603189,B005 - Before The Throne Of God Above,2306412,"","","August 26, 2017",Contemporary,Reflection & Prayer,"","Jesus' Life, Death, & Resurrection",B005 - Before The Throne Of God Above,139,0,"","C, G, F: Miesha, B",,,,
12603352,B006 - Beneath The Waters (I Will Rise),6179573,"","","August 27, 2017",Contemporary,Declarative,"","God's Greatness, Power, Glory, Jesus' Life, Death, & Resurrection",B006 - Beneath The Waters (I Will Rise),157,0,"","B: Chris, A: Michelle",,,,
12603816,B007 - Better Is One Day,1097451,"","","July 13, 2017",Contemporary,Desperation & Dependence,"",God's Presence & Intimacy,B007 - Better Is One Day,146,0,"",E,,,,
12603864,B008 - Better Than Life,3979862,"","",,Contemporary,Celebratory,"",God's Love & as Father,Default Arrangement,,0,"",G,h,,0,"",""
12603879,B009 - Bless His Holy Name,17566,"","","October 16, 2016",Gospel,Adoration,"",Thankfulness & Adoration,Default Arrangement,,0,"",E,,,,
12621868,B010 - Blessed,3490547,"","",,Contemporary,Desperation & Dependence,"",God's Presence & Intimacy,Default Arrangement,,0,"",D,,,,
12624845,B011 - Blessed Assurance,3270406,"","","June 04, 2017",Traditional,Adoration,Offering,Our Testimony & Redemption,B011 - Blessed Assurance,153.8,0,"",C,,,,
12624861,B012 - Blessed Be Your Name,3798438,"","","May 21, 2017",Contemporary,Celebratory,Call to Worship,"Commitment & Dedication, God's Faithfulness",Default Arrangement,118,0,"",A,,,,
12624891,B013 - Break Every Chain,5910977,"","","March 24, 2017",Contemporary,Declarative,"","Freedom, God's Greatness, Power, Glory",Default Arrangement,,0,"",A,,,,
12625524,B014 - Break Our Hearts,2299299,"","",,Contemporary,Desperation & Dependence,"",Repentance,Default Arrangement,,0,"",D,,,,
12625530,B015 - Breathe,1874117,"","","May 14, 2017",Contemporary,Desperation & Dependence,"",God's Presence & Intimacy,B015 - Breathe,66.5,0,"",G,,,,
12625535,B016 - Broken Vessels (Amazing Grace),7019974,"","","June 03, 2017",Contemporary,Reflection & Prayer,"","God's Love & as Father, Our Testimony & Redemption",B016 - Broken Vessels (Amazing Grace),141,0,"","G, F, E",,,,
12625543,B017 - Build Your Kingdom Here,6186078,"","",,Contemporary,Celebratory,"","Church & Unity, God's Kingdom & Reign",Default Arrangement,,0,"",C,,,,
12625552,B018 - Bread of Life,,"","",,Contemporary,Desperation & Dependence,"","Holy Spirit, Repentance",Default Arrangement,,0,"",A,,,,
13836105,B019 - Build My Life,7070345,"","","September 02, 2017",Contemporary,Declarative,"","Commitment & Dedication, God's Greatness, Power, Glory",B019 - Build My Life,140,0,"","E, F, G, D: Michelle, C#",,,,
13983911,Behold,7068430,"","",,"","","","",Default Arrangement,73,0,"",B,,,,
12625557,C001 - Came To My Rescue,4705190,"","","July 27, 2017",Contemporary,Declarative,"",Commitment & Dedication,C001 - Came To My Rescue,82,0,"","A, B",,,,
12625571,C002 - Can A Nation Be Changed,1589763,"","",,Contemporary,Desperation & Dependence,"",Repentance,Default Arrangement,,0,"",A,,,,
12626536,C003 - Captivate Us,4348021,"","",,Contemporary,Adoration,"",God's Presence & Intimacy,Default Arrangement,,0,"",G,,,,
12626623,C004 - Change My Heart Oh God,1565,"","",,Contemporary,Reflection & Prayer,"",Repentance,Default Arrangement,,0,"",C,,,,
12626668,C005 - Chosen Generation,5677454,"","","June 03, 2017",Contemporary,Celebratory,"","Church & Unity, Commitment & Dedication",Default Arrangement,138,0,"",A,,,,
12629816,C006 - Christ Is Enough,6514035,"","","July 02, 2017",Contemporary,Declarative,"",Commitment & Dedication,C006 - Christ Is Enough,80.4,0,"","A, G, E: Michelle's Key",,,,
12603246,C007 - Closer (Hillsong),6514066,"",There is no life besides You,"December 08, 2016",Contemporary,Celebratory,"",God's Presence & Intimacy,Default Arrangement,120,0,"",A,,,,
